order_id,order_date,amount,product_id
1001,2023-09-26,334.54,P009
1002,2023-07-06,335.09,P007
1003,2023-09-27,291.1,P001
1004,2023-11-07,90.63,P003
1005,2023-09-02,425.89,P013
1006,2023-06-04,194.35,P012
1007,2023-01-26,133.93,P014
1008,2023-11-06,68.35,P009
1009,2023-06-18,315.9,P012
1010,2023-11-01,354.9,P001
1011,2023-12-05,57.46,P009
1012,2023-10-05,280.44,P008
1013,2023-04-22,151.92,P001
1014,2023-09-03,340.33,P006
1015,2023-05-02,128.46,P005
1016,2023-09-04,360.92,P006
1017,2023-03-27,224.03,P010
1018,2023-02-27,471.53,P012
1019,2023-06-11,111.88,P013
1020,2023-08-03,203.48,P013
1021,2023-02-22,101.06,P013
1022,2023-03-11,466.11,P005
1023,2023-02-08,444.8,P006
1024,2023-04-17,166.07,P005
1025,2023-01-02,346.99,P011
1026,2023-07-04,417.75,P012
1027,2023-01-15,299.84,P005
1028,2023-04-24,288.34,P004
1029,2023-03-07,158.83,P003
1030,2023-12-18,91.9,P003
1031,2023-04-23,453.75,P004
1032,2023-04-18,455.19,P009
1033,2023-03-08,334.9,P002
1034,2023-05-04,202.56,P009
1035,2023-03-12,207.14,P001
1036,2023-11-29,376.68,P014
1037,2023-06-03,453.7,P001
1038,2023-09-06,449.19,P005
1039,2023-12-14,400.94,P006
1040,2023-11-05,338.91,P006
1041,2023-05-27,87.86,P003
1042,2023-08-21,122.73,P007
1043,2023-07-15,454.35,P009
1044,2023-03-01,322.89,P011
1045,2023-08-05,54.14,P012
1046,2023-11-16,95.66,P010
1047,2023-11-28,348.58,P008
1048,2023-11-18,52.28,P006
1049,2023-10-17,122.36,P012
1050,2023-01-29,296.93,P008
1051,2023-10-25,361.35,P012
1052,2023-01-31,343.38,P005
1053,2023-11-18,150.92,P008
1054,2023-09-15,370.48,P010
1055,2023-05-07,156.76,P012
1056,2023-09-29,196.43,P004
1057,2023-06-27,385.92,P010
1058,2023-08-22,342.33,P008
1059,2023-08-22,432.15,P010
1060,2023-02-09,345.93,P012
1061,2023-07-04,305.74,P002
1062,2023-05-10,92.15,P012
1063,2023-01-17,215.47,P012
1064,2023-07-14,169.34,P005
1065,2023-08-04,159.8,P009
